French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
car,because
laisse,leash
ville,city
chaque,each
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
compris,understood
savais,knew
étaient,were
pourrais,could
affaire,case
type,type
leurs,their
donné,given
corps,body
yeux,eyes
écoute,listen
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
compte,account
loin,far
fin,end
chérie,sweetheart
plutôt,rather
filles,girls
jouer,to play
